BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,1,94,45,0,405,0.495049504950495,696,0.667625899280576,818,0.591187270501836,778,0.449163449163449,956,0.718324607329843,736,0.594557823129252,746,0.520805369127517,NaN,NaN,-1,NaN
1,1,95,45,0,909,0.640969162995595,643,0.654205607476635,246,0.412244897959184,295,0.476190476190476,741,0.531081081081081,477,0.565126050420168,706,0.432624113475177,NaN,NaN,-1,NaN
1,1,96,45,0,599,0.536789297658863,551,0.418181818181818,372,0.463611859838275,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,2,1,0,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,2,0,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,3,0,0,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,2,4,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,2,5,0,0,-1,NaN,-1,NaN,0,NaN,6,0.6,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,2,6,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,7,0,0,-1,NaN,-1,NaN,0,NaN,8,0.571428571428571,-1,NaN,-1,NaN,0,NaN,2,1,-1,NaN
1,2,8,0,0,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN
1,2,9,0,0,-1,NaN,0,NaN,0,NaN,34,0.484848484848485,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,10,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,11,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,12,0,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,1,NaN,-1,NaN
1,2,13,796,0,14,0.461538461538462,2,1,38,0.621621621621622,480,0.647181628392484,486,0.575257731958763,234,0.55793991416309,354,0.58356940509915,33,0.4375,307,0.777777777777778
1,2,14,796,0,129,0.3828125,160,0.616352201257862,0,NaN,15,0.5,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,15,796,0,11,0.6,1,NaN,36,0.428571428571429,255,0.519685039370079,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,16,796,0,86,0.482352941176471,5,0.25,35,0.617647058823529,1114,0.461814914645103,1262,0.501982553528945,817,0.519607843137255,702,0.36376604850214,37,0.305555555555556,696,0.355395683453237
1,2,17,796,0,62,0.770491803278688,55,0.462962962962963,1,NaN,16,0.466666666666667,-1,NaN,-1,NaN,0,NaN,-1,NaN,0,NaN
1,2,18,796,0,311,0.438709677419355,1,NaN,26,0.56,625,0.522435897435897,322,0.246105919003115,154,0.189542483660131,598,0.271356783919598,34,0.606060606060606,417,0.461538461538462
1,2,19,796,0,22,0.238095238095238,1,NaN,6,0.6,280,0.304659498207885,-1,NaN,-1,NaN,-1,NaN,2,1,-1,NaN
1,2,20,796,0,61,0.55,75,0.702702702702703,23,0.590909090909091,115,0.552631578947368,-1,NaN,-1,NaN,0,NaN,5,0.25,-1,NaN
1,2,21,796,0,374,0.241286863270777,57,0.392857142857143,14,0.384615384615385,240,0.364016736401674,335,0.0748502994011976,198,0.512690355329949,296,0.169491525423729,30,0.551724137931034,159,0.411392405063291
1,2,22,796,0,0,NaN,220,0.465753424657534,40,0.487179487179487,1404,0.443335709194583,1541,0.523376623376623,895,0.523489932885906,1394,0.489590811198851,40,0.666666666666667,1394,0.530509691313711
1,2,23,796,0,0,NaN,17,0.5,19,0.444444444444444,248,0.817813765182186,139,0.876811594202899,110,0.73394495412844,353,0.920454545454545,15,0.357142857142857,313,0.887820512820513
1,2,24,796,0,-1,NaN,-1,NaN,0,NaN,2,0,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,25,796,1,49,0.5,28,0.481481481481481,35,0.676470588235294,327,0.539877300613497,692,0.629522431259045,619,0.466019417475728,40,0.282051282051282,-1,NaN,-1,NaN
1,2,26,796,1,323,0.512422360248447,-1,NaN,1,NaN,28,0.518518518518518,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,27,796,1,332,0.187311178247734,149,0.594594594594595,38,0.459459459459459,1291,0.445736434108527,1127,0.365896980461812,704,0.450924608819346,996,0.395979899497487,42,0.463414634146341,972,0.46961894953656
