Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
4,0.39,6,1,3,4,On,0.721746575342466,1,Yes
5,0.39,6,1,3,4,On,0.594178082191781,1,Yes
6,0.39,6,1,3,4,On,0.355308219178082,1,Yes
7,0.39,6,1,3,4,On,0.376712328767123,1,Yes
8,0.39,6,1,3,4,On,0.67722602739726,1,Yes
9,0.39,6,1,3,4,On,0.743150684931507,1,Yes
10,0.39,6,1,3,4,On,0.604452054794521,1,Yes
11,0.39,6,1,3,4,On,0.666952054794521,1,Yes
12,0.39,6,1,3,4,On,0.603595890410959,1,Yes
13,0.39,6,1,3,4,On,0.724315068493151,1,Yes
14,0.39,6,1,3,4,On,0.872431506849315,1,Yes
15,0.39,6,1,3,4,On,0.549657534246575,1,Yes
1,0.39,6,1,3,4,Off,0.360655737704918,1,Yes
2,0.39,6,1,3,4,Off,0.141579731743666,1,Yes
3,0.39,6,1,3,4,Off,0.642324888226528,1,Yes
4,0.39,6,1,3,4,Off,0.204918032786885,1,Yes
5,0.39,6,1,3,4,Off,0.439642324888227,1,Yes
6,0.39,6,1,3,4,Off,0.429955290611028,1,Yes
7,0.39,6,1,3,4,Off,0.447093889716841,1,Yes
8,0.39,6,1,3,4,Off,0.247391952309985,1,Yes
9,0.39,6,1,3,4,Off,0.478390461997019,1,Yes
10,0.39,6,1,3,4,Off,0.421758569299553,1,Yes
11,0.39,6,1,3,4,Off,0.617734724292101,1,Yes
12,0.39,6,1,3,4,Off,0.339046199701937,1,Yes
13,0.39,6,1,3,4,Off,0.406855439642325,1,Yes
14,0.39,6,1,3,4,Off,0.141579731743666,1,Yes
15,0.39,6,1,3,4,Off,0.131892697466468,1,Yes
